Id,Name,Tax category,Created at,Updated at,Organization,Uuid
2221,Tip Top Ice Cream Shop,3,2025-03-25 02:55:17 UTC,2025-03-25 02:55:17 UTC,1,chin_a538ac33-00f7-49d1-bb40-d4095e88a6f2
2220,Floristree,5,2025-03-25 02:54:54 UTC,2025-03-25 02:54:54 UTC,1,chin_028ab360-df2f-4fde-b101-eaf9eb4adcf4
2219,Coffee Lounge,3,2025-03-25 02:54:17 UTC,2025-03-25 02:54:17 UTC,1,chin_272fdedc-a724-4627-9dd2-3dceaeea1f45
2218,Zamara’s Spa & Boutique,5,2025-03-25 02:53:50 UTC,2025-03-25 02:53:50 UTC,1,chin_e8f4bcbf-2751-4bf3-9931-c74a3b5d8df8
2217,La Isla Wheelhouse Bar & Grill,3,2025-03-25 02:53:21 UTC,2025-03-25 02:53:21 UTC,1,chin_ec1f0b3b-ed5a-4e26-81ca-018d162dc360
2216,Nolo’s Fried Chicken & Chinese,3,2025-03-24 17:56:42 UTC,2025-03-24 17:56:42 UTC,1,chin_77c77385-1d8b-4a96-90cb-f9ec6f84aa10
2215,Anhelomío Coffetería,3,2025-03-24 17:56:25 UTC,2025-03-24 17:56:25 UTC,1,chin_93d98cea-b7ff-4056-950a-0342c155190f
2214,Yane Tattoo,5,2025-03-20 11:16:18 UTC,2025-03-20 11:16:18 UTC,1,chin_8dfa8f64-d3a6-404f-930b-4da3c2853bc9
2213,Autentika Beauty Salon,5,2025-03-19 02:01:21 UTC,2025-03-20 11:15:56 UTC,1,chin_d25fa2ae-8449-44ec-bdfd-3db3c1a14374
2212,Pikua Accessories,5,2025-03-19 02:00:56 UTC,2025-03-19 02:37:30 UTC,1,chin_4a65e734-c081-4f70-9301-36bbb57a5658
2211,VinoVida,3,2025-03-19 02:00:39 UTC,2025-03-19 02:32:34 UTC,1,chin_0414a402-5b11-43d8-817d-ef232a1028b5
2210,PR Electrical Supply,5,2025-03-19 02:00:18 UTC,2025-03-19 02:00:18 UTC,1,chin_726f9b08-d280-4eed-be09-4388f373946f
2209,Café 14•28,3,2025-03-19 02:00:02 UTC,2025-03-19 02:22:30 UTC,1,chin_f558ac9d-9941-4a13-845d-f0750d81da6e
2208,Party Line,5,2025-03-19 01:59:45 UTC,2025-03-19 01:59:45 UTC,1,chin_f1bda42f-0b32-4fc8-91db-3af185f06bdc
2207,Downtown Creamery,3,2025-03-19 01:59:22 UTC,2025-03-19 01:59:22 UTC,1,chin_9cf574b5-fbc8-4db7-8c8f-9b5531459aa1
2206,Miranda Barcias Skincare Spa,5,2025-03-19 01:57:45 UTC,2025-03-19 01:57:45 UTC,1,chin_da450d37-10d1-4e4c-a5c4-02a5acd6c1d1
2205,Mr. Waffle Heladería,3,2025-03-19 01:28:33 UTC,2025-03-19 01:28:33 UTC,1,chin_5e7c1cd3-970a-4564-a272-92622a68fb91
2204,Infinity Salon,7,2025-03-17 17:27:51 UTC,2025-03-17 17:27:51 UTC,2,chin_a5aa98e9-cd86-4132-aa23-d3360e7e2140
2203,La Placita Tropical,3,2025-03-14 19:29:55 UTC,2025-03-14 19:29:55 UTC,1,chin_5ddc7751-fbdb-4326-a875-b1fa76a6f0ea
2202,Centro Piezas Tony Ruiz,5,2025-03-14 19:28:03 UTC,2025-03-14 19:28:03 UTC,1,chin_f375abbf-4f9c-427f-82d7-9c27c488bb16
2201,Puesta del Sol,3,2025-03-13 12:55:07 UTC,2025-03-13 12:55:07 UTC,1,chin_7244152a-26e4-43fd-a27c-987ba74189c3
2200,Pepo’s 1227,3,2025-03-13 12:54:48 UTC,2025-03-13 12:54:48 UTC,1,chin_382fe777-a6c1-46e9-8879-250046c65330
2199,Elite Esthetic by Nora,5,2025-03-13 12:18:52 UTC,2025-03-13 12:18:52 UTC,1,chin_51cc9570-424d-4b65-8554-952b20ae2700
2198,MUMU,7,2025-03-11 15:38:30 UTC,2025-03-11 15:38:30 UTC,2,chin_0829edbb-f4c6-4c5e-bfb7-d9a9ee3393ff
2197,Naked Cake Shop,7,2025-03-11 15:36:42 UTC,2025-03-11 15:36:42 UTC,2,chin_ec51a39d-df74-4435-a825-825abd47062a
2196,Umami Bodega,7,2025-03-11 15:36:08 UTC,2025-03-11 15:36:08 UTC,2,chin_da296402-2ca6-4956-a67a-dd9c085312f3
2195,TS Microblading Brows & More,5,2025-03-11 14:30:24 UTC,2025-03-11 14:30:24 UTC,1,chin_4a2f77fa-64b0-4a91-9b4b-32196a87aa48
2194,El Borrego by Street Market PR,3,2025-03-11 14:30:07 UTC,2025-03-11 14:30:07 UTC,1,chin_bc416b32-dc68-4a0d-8fff-240e109e3970
2193,Browfox,5,2025-03-07 18:23:34 UTC,2025-03-07 18:23:34 UTC,1,chin_81bb4a6c-9c49-4e4d-b443-29cdaacb61aa
2192,El Dominazo Sport Bar & Grill,3,2025-03-07 18:23:18 UTC,2025-03-07 18:23:18 UTC,1,chin_0b73c8f3-da93-43eb-8735-8751d65dc780
2191,Pizza con’D,3,2025-03-07 18:23:01 UTC,2025-03-07 18:23:01 UTC,1,chin_b6d53d15-76cb-436f-9e2e-443869120205
2190,Panadería Don Seba,3,2025-03-07 18:22:44 UTC,2025-03-07 18:22:44 UTC,1,chin_c47b06a6-1a6c-424f-b4fa-683b85586df4
2189,Oscar BBQ Asadores PR,3,2025-03-07 18:22:26 UTC,2025-03-07 18:22:26 UTC,1,chin_e2e4bcde-270d-4866-a03c-2ab9b3e66a26
2188,DM Hair Studio,5,2025-03-07 18:22:10 UTC,2025-03-07 18:22:10 UTC,1,chin_ceab7a4f-eed3-451b-be85-8b38105ccae1
2187,Flores Coffee Shop,3,2025-03-06 16:34:16 UTC,2025-03-06 16:34:16 UTC,1,chin_76e724b2-6dd8-4d07-be1d-042dbf95c2ae
